user_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,customers_segment
6449315,8,2,0.3113582664,3,3,3,333,Others
6494975,30,1,0.1556185124,2,1,1,211,Loyal Customers
6550632,10,2,0.3114179952,3,3,3,333,Others
6574306,25,3,0.4738728115,2,3,4,234,Others
6659232,71,1,0.1556185124,1,1,1,111,Best Customers
6670872,0,1,0.1559364975,4,1,2,412,Loyal Customers
6691932,45,3,0.4671711978,2,3,3,233,Others
6715647,0,2,0.3122576434,4,3,3,433,Loyal Customers
6720402,2,11,1.713640436,4,4,4,444,Lost Cheap Customers
6737517,19,1,0.1558784117,3,1,2,312,Loyal Customers
6790137,29,1,0.1559726474,2,1,2,212,Loyal Customers
6791138,7,1,0.1556663724,4,1,2,412,Loyal Customers
6795050,30,2,0.3116636408,2,3,3,233,Others
6831496,13,1,0.1556185124,3,1,1,311,Almost Lost
6894042,71,2,0.3118195114,1,3,3,133,Recent Customers
6962926,11,12,1.88537369,3,4,4,344,Loyal Customers
6991111,0,4,0.6263578513,4,4,4,444,Lost Cheap Customers
7001723,22,1,0.1556629283,2,1,2,212,Loyal Customers
7014608,15,5,0.7786352948,3,4,4,344,Loyal Customers
7046945,24,1,0.1567518545,2,1,3,213,Loyal Customers
7048137,71,1,0.1560342328,1,1,2,112,Recent Customers
7050586,24,2,0.3113635258,2,3,3,233,Others
7054538,21,2,0.3115352094,3,3,3,333,Others
7071398,8,5,0.7787314374,3,4,4,344,Loyal Customers
7095290,8,1,0.1558513907,3,1,2,312,Loyal Customers
7119005,1,1,0.1557310087,4,1,2,412,Loyal Customers
7127795,61,1,0.1556185124,1,1,1,111,Best Customers
7208367,66,1,0.1557530695,1,1,2,112,Recent Customers
7258321,29,8,1.247706542,2,4,4,244,Loyal Customers
7307975,73,1,0.1556185124,1,1,1,111,Best Customers
7308065,1,1,0.1556965217,4,1,2,412,Loyal Customers
7328765,30,2,0.3117144442,2,3,3,233,Others
7337742,25,2,0.3119887995,2,3,3,233,Others
7357362,32,1,0.1556940258,2,1,2,212,Loyal Customers
7386777,59,1,0.1557989221,1,1,2,112,Recent Customers
7387745,5,4,0.6225647313,4,4,4,444,Lost Cheap Customers
7394018,56,1,0.1561323973,1,1,2,112,Recent Customers
7399212,61,1,0.1560466077,1,1,2,112,Recent Customers
7409022,48,1,0.1560243178,1,1,2,112,Recent Customers
7431286,19,1,0.1556185142,3,1,2,312,Loyal Customers
7489958,31,1,0.1557558766,2,1,2,212,Loyal Customers
7542177,6,5,0.7791108351,4,4,4,444,Lost Cheap Customers
7554736,29,1,0.1556185124,2,1,1,211,Loyal Customers
7555512,22,2,0.3115922337,2,3,3,233,Others
7565915,25,1,0.1557242225,2,1,2,212,Loyal Customers
7571296,40,2,0.312209636,2,3,3,233,Others
7571731,46,3,0.4674945877,2,3,3,233,Others
7630865,65,1,0.1559958193,1,1,2,112,Recent Customers
7649678,24,1,0.1556955728,2,1,2,212,Loyal Customers
7661198,5,1,0.1556185124,4,1,1,411,Lost Customers
7711243,32,5,0.7794363709,2,4,4,244,Loyal Customers
7716621,44,1,0.1556652964,2,1,2,212,Loyal Customers
7720393,13,2,0.3114586511,3,3,3,333,Others
7720716,0,1,0.1560166985,4,1,2,412,Loyal Customers
7729123,21,2,0.3125796675,3,3,3,333,Others
7741093,26,1,0.1556185142,2,1,2,212,Loyal Customers
7849898,68,1,0.1556185124,1,1,1,111,Best Customers
7856915,5,12,1.873914251,4,4,4,444,Lost Cheap Customers
7897692,1,6,0.9354088131,4,4,4,444,Lost Cheap Customers
7918100,17,1,0.1560107042,3,1,2,312,Loyal Customers
7967330,46,1,0.1556185124,2,1,1,211,Loyal Customers
7985033,3,2,0.3113870953,4,3,3,433,Loyal Customers
8006033,6,4,0.6237041429,4,4,4,444,Lost Cheap Customers
8009570,22,1,0.1558397696,2,1,2,212,Loyal Customers
8022162,0,18,2.837016356,4,4,4,444,Lost Cheap Customers
8043606,6,2,0.3152696225,4,3,3,433,Loyal Customers
8056843,41,1,0.1556504442,2,1,2,212,Loyal Customers
8077473,1,15,2.354615407,4,4,4,444,Lost Cheap Customers
8130978,77,1,0.155678263,1,1,2,112,Recent Customers
8157196,43,3,0.4670264839,2,3,3,233,Others
8163971,8,1,0.1560127203,3,1,2,312,Loyal Customers
8183506,10,15,2.366783185,3,4,4,344,Loyal Customers
8191168,66,1,0.155698953,1,1,2,112,Recent Customers
8198198,48,11,1.754373615,1,4,4,144,Recent Customers
8215542,34,1,0.1556185142,2,1,2,212,Loyal Customers
8220050,52,5,0.7801854457,1,4,4,144,Recent Customers
8246142,4,3,0.466948629,4,3,3,433,Loyal Customers
8280986,46,1,0.1559407979,2,1,2,212,Loyal Customers
8346773,34,2,0.3114072593,2,3,3,233,Others
8352328,1,22,3.438827534,4,4,4,444,Lost Cheap Customers
8357783,5,6,0.9365274153,4,4,4,444,Lost Cheap Customers
8368823,53,4,0.6269121679,1,4,4,144,Recent Customers
8377343,25,3,0.4683028386,2,3,3,233,Others
8397935,53,5,0.7834359777,1,4,4,144,Recent Customers
8403893,40,1,0.1556680172,2,1,2,212,Loyal Customers
8461831,68,1,0.1561365165,1,1,2,112,Recent Customers
8467568,32,5,0.7817806739,2,4,4,244,Loyal Customers
8484563,63,1,0.1556489217,1,1,2,112,Recent Customers
8502776,20,1,0.1558393191,3,1,2,312,Loyal Customers
8504113,36,2,0.311409586,2,3,3,233,Others
8524173,11,1,0.155645937,3,1,2,312,Loyal Customers
8630842,17,2,0.3112370249,3,3,3,333,Others
8671983,3,5,0.7785084049,4,4,4,444,Lost Cheap Customers
8715071,12,2,0.3118922703,3,3,3,333,Others
8720133,5,3,0.4705771836,4,3,4,434,Loyal Customers
8733821,13,2,0.3120113872,3,3,3,333,Others
8739660,4,4,0.6227467331,4,4,4,444,Lost Cheap Customers
8771501,36,2,0.3114753855,2,3,3,233,Others
8816497,6,3,0.4669744463,4,3,3,433,Loyal Customers
8844510,75,1,0.1558975959,1,1,2,112,Recent Customers
8858561,0,5,0.7800919652,4,4,4,444,Lost Cheap Customers
8884631,3,4,0.6227562257,4,4,4,444,Lost Cheap Customers
8913753,20,2,0.3115453305,3,3,3,333,Others
8914237,0,7,1.097116609,4,4,4,444,Lost Cheap Customers
8942463,44,2,0.3114401776,2,3,3,233,Others
8950590,85,1,0.156845927,1,1,3,113,Recent Customers
8985393,6,2,0.3112401923,4,3,3,433,Loyal Customers
8998728,2,3,0.4674221954,4,3,3,433,Loyal Customers
9008685,22,2,0.3126231685,2,3,3,233,Others
9021082,47,1,0.1557300299,1,1,2,112,Recent Customers
9060990,13,1,0.1556185124,3,1,1,311,Almost Lost
9126255,59,1,0.1561081319,1,1,2,112,Recent Customers
9134568,80,1,0.1557167142,1,1,2,112,Recent Customers
9152730,64,1,0.1556604112,1,1,2,112,Recent Customers
9192506,12,2,0.3117371201,3,3,3,333,Others
9196743,0,4,0.6232356455,4,4,4,444,Lost Cheap Customers
9272707,13,1,0.1556185124,3,1,1,311,Almost Lost
9291067,56,1,0.1577328158,1,1,3,113,Recent Customers
9309630,15,3,0.4674861302,3,3,3,333,Others
9324356,44,3,0.4676687497,2,3,3,233,Others
9362730,64,3,0.4679573417,1,3,3,133,Recent Customers
9368261,14,4,0.674936193,3,4,4,344,Loyal Customers
9404111,3,2,0.311328722,4,3,3,433,Loyal Customers
9437527,26,11,1.715982821,2,4,4,244,Loyal Customers
9469815,18,1,0.1556735811,3,1,2,312,Loyal Customers
9484841,52,1,0.1557357129,1,1,2,112,Recent Customers
9494801,15,1,0.155735702,3,1,2,312,Loyal Customers
9550863,42,1,0.1560312797,2,1,2,212,Loyal Customers
9564277,30,1,0.1556185124,2,1,1,211,Loyal Customers
9631845,70,1,0.1556185124,1,1,1,111,Best Customers
9636030,37,2,0.3113817627,2,3,3,233,Others
9637488,64,1,0.1556185124,1,1,1,111,Best Customers
9646376,46,1,0.1556881145,2,1,2,212,Loyal Customers
9655530,4,7,1.092134633,4,4,4,444,Lost Cheap Customers
9657712,75,1,0.1556187771,1,1,2,112,Recent Customers
9697736,6,10,1.559332806,4,4,4,444,Lost Cheap Customers
